created_at,entry_id,Temperature,Humidity,DisconnectedTotal,RSL_in,RSL_out,RPL_rank,Hopcount,ConnectedTotal
2025-11-25T11:16:46+00:00,786,30.81,50.831,0,-67,-64,128,1,0.62
2025-11-25T11:16:46+00:01,787,30.778,50.846,0,-65,-64,128,1,0.98
2025-11-25T11:16:46+00:02,788,30.756,50.884,0,-67,-63,128,1,1.37
2025-11-25T11:16:46+00:03,789,30.692,50.907,0,-68,-65,128,1,1.78
2025-11-25T11:16:46+00:04,790,30.671,50.9,0,-67,-64,128,1,2.17
2025-11-25T11:16:46+00:05,791,30.66,50.938,0,-66,-64,128,1,2.53
2025-11-25T11:16:46+00:06,792,30.638,50.968,0,-66,-64,128,1,2.9
2025-11-25T11:16:46+00:07,793,30.617,50.968,0,-65,-64,128,1,3.28
2025-11-25T11:16:46+00:08,794,30.585,50.968,0,-65,-63,128,1,3.65
2025-11-25T11:16:46+00:09,795,30.553,50.892,0,-65,-64,128,1,4.03
2025-11-25T11:16:46+00:10,796,30.51,50.915,0,-66,-64,128,1,4.4
2025-11-25T11:16:46+00:11,797,30.51,50.961,0,-67,-65,128,1,4.78
2025-11-25T11:16:46+00:12,798,30.488,50.976,0,-66,-65,128,1,5.15
2025-11-25T11:16:46+00:13,799,30.488,50.976,0,-66,-64,128,1,5.58
2025-11-25T11:16:46+00:14,800,30.456,50.938,0,-66,-65,128,1,6
2025-11-25T11:16:46+00:15,801,30.456,50.991,0,-66,-65,128,1,6.37
2025-11-25T11:16:46+00:16,802,30.424,51.029,0,-67,-65,128,1,6.75
2025-11-25T11:16:46+00:17,803,30.424,51.06,0,-67,-65,128,1,7.13
2025-11-25T11:16:46+00:18,804,30.413,51.083,0,-67,-66,128,1,7.5
2025-11-25T11:16:46+00:19,805,30.402,51.128,0,-68,-65,128,1,7.93
2025-11-25T11:16:46+00:20,806,30.381,51.151,0,-68,-66,128,1,8.3
2025-11-25T11:16:46+00:21,807,30.392,51.144,0,-65,-65,128,1,8.68
2025-11-25T11:16:46+00:22,808,30.381,51.113,0,-66,-64,128,1,9.07
2025-11-25T11:16:46+00:23,809,30.37,51.106,0,-66,-64,128,1,9.43
2025-11-25T11:16:46+00:24,810,30.338,51.159,0,-67,-64,128,1,9.82
2025-11-25T11:16:46+00:25,811,30.349,51.189,0,-65,-65,128,1,10.2
